,LapTime,NextLapTime,LapNumber,DriverNumber,Team,Compound,TyreLife,FreshTyre,S1Time,S2Time,S3Time,S1STime,S2STime,S2STime,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Position,Deleted,TrackStatus
92,84.097,84.007,42.0,11,1,1,14.0,0,27.704,28.526,27.867,5618.49,5647.016,5647.016,316.0,312.0,318.0,0,7.0,0,1
93,84.007,83.984,43.0,11,1,1,15.0,0,27.688,28.394,27.925,5702.571,5730.965,5730.965,316.0,312.0,320.0,0,7.0,0,1
94,83.984,84.781,44.0,11,1,1,16.0,0,27.594,28.487,27.903,5786.484,5814.971,5814.971,316.0,312.0,334.0,0,7.0,0,1
95,84.781,84.784,45.0,11,1,1,17.0,0,27.999,28.788,27.994,5870.873,5899.661,5899.661,314.0,313.0,336.0,0,7.0,0,1
96,84.784,84.035,46.0,11,1,1,18.0,0,27.855,29.032,27.897,5955.51,5984.542,5984.542,315.0,314.0,,0,7.0,0,1
97,84.035,84.014,47.0,11,1,1,19.0,0,27.763,28.445,27.826999999999998,6040.202,6068.647,6068.647,318.0,316.0,,0,7.0,0,1
98,84.014,83.971,48.0,11,1,1,20.0,0,27.542,28.419,28.053,6124.016,6152.435,6152.435,314.0,312.0,,0,7.0,0,1
99,83.971,84.089,49.0,11,1,1,21.0,0,27.675,28.384,27.912,6208.163,6236.547,6236.547,313.0,312.0,332.0,0,7.0,0,1
100,84.089,83.917,50.0,11,1,1,22.0,0,27.609,28.506,27.974,6292.068,6320.574,6320.574,312.0,312.0,,0,7.0,0,1
101,83.917,84.105,51.0,11,1,1,23.0,0,27.69,28.355,27.872,6376.238,6404.593,6404.593,314.0,312.0,334.0,0,7.0,0,1
102,84.105,84.23,52.0,11,1,1,24.0,0,27.696,28.455,27.954,6460.161,6488.616,6488.616,314.0,312.0,333.0,0,7.0,0,1
103,86.573,85.194,1.0,16,2,1,4.0,0,,28.626,28.449,,2058.597,2058.597,306.0,303.0,286.0,0,1.0,0,2
104,85.194,84.954,2.0,16,2,1,5.0,0,28.169,28.608,28.417,2115.071,2143.679,2143.679,307.0,304.0,310.0,0,1.0,0,1
105,84.954,84.949,3.0,16,2,1,6.0,0,28.023,28.592,28.339,2200.119,2228.711,2228.711,309.0,305.0,313.0,0,1.0,0,2
106,84.949,84.907,4.0,16,2,1,7.0,0,27.903,28.565,28.481,2284.953,2313.518,2313.518,311.0,304.0,316.0,0,1.0,0,1
107,84.907,84.9,5.0,16,2,1,8.0,0,27.917,28.665,28.325,2369.916,2398.581,2398.581,312.0,305.0,317.0,0,1.0,0,1
